file_path,method_name,line_number,score,coverage,complexity,git_commits
lib/calculator/parser.rb,convert_to_postfix,63,41.13,90.9,17,0
lib/calculator/parser.rb,validate_tokens,26,21.93,90.9,9,0
bin/calculator,process_input,32,14.82,0.0,8,0
lib/calculator/operations/scientific.rb,sin,8,4.39,44.6,1,0
lib/calculator/operations/scientific.rb,cos,18,4.39,44.6,1,0
lib/calculator/operations/scientific.rb,tan,28,4.39,44.6,1,0
lib/calculator/operations/scientific.rb,log,44,4.39,44.6,1,0
lib/calculator/operations/scientific.rb,sqrt,65,4.39,44.6,1,0
lib/calculator/operations/scientific.rb,exp,75,4.39,44.6,1,0
lib/calculator/operations/scientific.rb,asin,87,4.39,44.6,1,0
